tcID, reactant, product, type, label
v1, IKK,IKKa, ->,k1(totalIKK-IKK*)/(km1+(totalIKK-IKK*))
v2, IKK,v1_mod, ->,k2 signal (totalIKK-IKK*)/(km2+(totalIKK-IKK*))
v2,v1_mod, IKKa, ->,k2 signal (totalIKK-IKK*)/(km2+(totalIKK-IKK*))
v2, signal,v1_mod, -o,k2 signal (totalIKK-IKK*)/(km2+(totalIKK-IKK*))
v3,v1_mod, IKKa, ->,k3 IKK* (totalIKK-IKK*)/(km3+(totalIKK-IKK*))
v3, IKKa,v1_mod, -o,k3 IKK* (totalIKK-IKK*)/(km3+(totalIKK-IKK*))
v4, IKKa, IKK, ->,k4 IKK*/(km4+IKK*)
v5, NFkB,NFkBa, ->,k5(totalNFkB-NFkB*)/(km5+(totalNFkB-NFkB*))
v6, NFkB,v3_mod, ->,k6 IKK*(totalNFkB-NFkB*)/(km6+(totalNFkB-NFkB*))
v6,v3_mod,NFkBa, ->,k6 IKK*(totalNFkB-NFkB*)/(km6+(totalNFkB-NFkB*))
v6, IKKa,v3_mod, -o,k6 IKK*(totalNFkB-NFkB*)/(km6+(totalNFkB-NFkB*))
v8,NFkBa,NFkB, ->,k8 NFkB*/(km8+NFkB*)
v7,NFkBa,v4_mod, ->,k7 IkB NFkB*/(km7+NFkB*)
v7,v4_mod,NFkB, ->,k7 IkB NFkB*/(km7+NFkB*)
v7,IkB,v4_mod, -o,k7 IkB NFkB*/(km7+NFkB*)
v9,IkB_src,IkB, ->,k9 G/(km9+G)
v10,IkB_src,v5_mod, ->,k10 NFkB* G/(km10+G)
v10,v5_mod,IkB, ->,k10 NFkB* G/(km10+G)
v10,NFkBa,v5_mod, -o,k10 NFkB* G/(km10+G)
v11,IkB,IkB_deg, ->,k11 IkB/(km11+IkB)
